BHID_x,Composite_x,Process,Product,BV Report,Mineral,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group-Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Total,Sample_x,CompositeID,Sample_y,BHID_y,Composite_y,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P XRF,S XRF,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn XRF,Zr,Sr,LOI371,LOI650,LOI1000,LOI
NSRD0796,Comp 2,DTR,Feed,N9821XD21,1-44710245,3.125147318,41.90805846,,0,,12.35220555,,0,26.61859917,12.91889707,,0,,0.414432572,2.662659862,0,0,0,100,44710245,NSRD0796 Comp 2 53 Feed,44710960001,NSRD0796,Comp 2, -53um ,DTR Feed,25,35.2,39.7,1.399,0.061,0.561,0.435,0.123,0.057,1.8,0.35,0.027,0.004,0.001,-0.001,0.002,0.002,0.004,0.003,0.01,0.008,0.001,0.001,0.001,0.007,0.49,4.33,-0.08,4.74
NSRD0796,Comp 3,DTR,Feed,N9821XD21,2-44710246,4.738897288,37.63546487,,0,,14.30498945,,0.986982681,39.67078769,1.519339274,,0,,0.68513322,0,0,0.458405539,0,100,44710246,NSRD0796 Comp 3 53 Feed,44710960002,NSRD0796,Comp 3, -53um ,DTR Feed,36.7,35.61,37.45,1.728,0.077,0.573,0.586,0.092,0.067,2.36,0.515,0.035,0.004,0.001,-0.001,0.002,0.002,0.007,0.003,0.011,0.008,0.002,-0.001,0.001,0.009,0.11,5.28,-0.34,5.05
NSRD0796,Comp 4,DTR,Feed,N9821XD21,3-44710247,4.396625847,40.25839082,,0,,13.36565158,,1.552856968,38.76169799,1.114273598,,0,,0.375702122,0,0,0.174801069,0,100,44710247,NSRD0796 Comp 4 53 Feed,44710960003,NSRD0796,Comp 4, -53um ,DTR Feed,37.7,35.04,39.61,1.142,0.05,0.602,0.789,0.101,0.034,1.98,0.256,0.035,0.004,0.001,0.001,0.002,0.002,0.004,0.003,0.009,0.006,-0.001,-0.001,0.001,0.008,0.08,5.11,-0.45,4.74
NSRD0796,Comp 5,DTR,Feed,N9821XD21,4-44710248,6.447607457,35.38672446,,0,,20.94221313,,1.771336233,33.737262,0.874484485,,0,,0.840372238,0,0,0,0,100,44710248,NSRD0796 Comp 5 53 Feed,44710960004,NSRD0796,Comp 5, -53um ,DTR Feed,33.3,35.67,35.33,1.454,0.065,0.619,0.713,0.104,0.075,2.41,0.309,0.068,0.004,0.001,-0.001,0.002,0.001,0.006,0.002,0.01,0.007,0.001,-0.001,0.001,0.008,0.33,7.31,-0.35,7.29
NSRD0796,Comp 6,DTR,Feed,N9821XD21,5-44710249,3.017746522,34.71469607,,2.383913934,,29.18648584,,1.162977883,27.81574025,0.961950814,,0,,0.756488683,0,0,0,0,100,44710249,NSRD0796 Comp 6 53 Feed,44710960005,NSRD0796,Comp 6, -53um ,DTR Feed,26.9,34.44,34.82,1.278,0.052,0.6,0.667,0.099,0.055,2.25,0.353,0.195,0.003,0.001,-0.001,0.002,-0.001,0.003,-0.001,0.009,0.006,0.001,-0.001,-0.001,0.008,2.22,8.01,-0.23,10
NSRD0796,Comp 7,DTR,Feed,N9821XD21,6-44710250,2.687317081,37.76141665,,0,,20.40071529,,2.13779076,34.69101086,1.855261607,,0,,0.466487755,0,0,0,0,100,44710250,NSRD0796 Comp 7 53 Feed,44710960006,NSRD0796,Comp 7, -53um ,DTR Feed,32.5,35.36,36.67,1.103,0.049,0.589,0.789,0.08,0.024,2.02,0.291,0.214,0.004,0.001,0.001,0.004,0.003,0.004,0.001,0.008,0.005,0.001,0.001,0.002,0.011,0.27,7.21,-0.31,7.17
NSRD0796,Comp 2,DTR,Tails,N9821XD21,7-44710251,6.604878307,64.4230377,,0,,19.02574811,,0,0,5.182272782,,0,,1.024939525,3.739123577,0,0,0,100,44710251,NSRD0796 Comp 2 53 Tails,44710960037,NSRD0796,Comp 2, -53um ,DTR Tails,1.2,15.78,60.81,2.152,0.088,0.836,0.675,0.193,0.088,2.72,0.548,0.022,0.015,-0.001,0.002,0.009,0.004,0.007,0.004,0.003,0.005,0.001,0.002,0.001,0.013,1.03,7.14,0.33,8.5
NSRD0796,Comp 3,DTR,Tails,N9821XD21,8-44710252,9.052928261,60.54211819,,0,,24.12630792,,2.085220262,0,1.633216568,,0,,1.30766814,0,0,1.252540657,0,100,44710252,NSRD0796 Comp 3 53 Tails,44710960038,NSRD0796,Comp 3, -53um ,DTR Tails,1.2,13.56,59.51,2.802,0.112,0.922,0.962,0.147,0.107,3.85,0.813,0.034,0.009,-0.001,-0.001,0.009,0.004,0.016,0.001,0.004,0.01,0.001,0.001,0.001,0.013,0.47,9.76,0.24,10.47
NSRD0796,Comp 4,DTR,Tails,N9821XD21,9-44710253,7.028610496,65.98740148,,0,,21.40577013,,3.167076863,0,1.097500361,,0,,0.836763315,0,0,0.47687736,0,100,44710253,NSRD0796 Comp 4 53 Tails,44710960039,NSRD0796,Comp 4, -53um ,DTR Tails,1,12.06,64.15,1.854,0.077,0.96,1.265,0.166,0.054,3.17,0.422,0.041,0.008,-0.001,-0.001,0.01,0.006,0.012,0.002,0.002,0.005,0.001,0.002,0.001,0.016,0.38,9.36,0.21,9.95
NSRD0796,Comp 5,DTR,Tails,N9821XD21,10-44710254,7.579603577,55.84977383,,0,,32.41726964,,1.965712846,0,1.303266011,,0,,0.8843741,0,0,0,0,100,44710254,NSRD0796 Comp 5 53 Tails,44710960040,NSRD0796,Comp 5, -53um ,DTR Tails,1.2,16.6,53.54,2.252,0.093,0.929,1.109,0.164,0.118,3.7,0.472,0.073,0.01,-0.001,0.001,0.009,0.002,0.009,-0.001,0.002,0.006,0.001,0.001,-0.001,0.012,0.61,12.18,0.22,13.01
NSRD0796,Comp 6,DTR,Tails,N9821XD21,11-44710255,3.662715848,49.37285572,,3.20402955,,40.08946034,,1.530550456,0,1.23958573,,0,,0.900802354,0,0,0,0,100,44710255,NSRD0796 Comp 6 53 Tails,44710960041,NSRD0796,Comp 6, -53um ,DTR Tails,0.9,19.52,48.64,1.809,0.069,0.821,0.924,0.137,0.078,3.1,0.498,0.255,0.014,0.001,0.001,0.007,0.003,0.005,-0.001,0.002,0.005,0.001,-0.001,0.001,0.013,6.19,8.62,0.2,15.01
NSRD0796,Comp 7,DTR,Tails,N9821XD21,12-44710256,3.516139452,55.64054732,,3.476789238,,30.49620764,,3.262024706,0,2.94913106,,0,,0.659160589,0,0,0,0,100,44710256,NSRD0796 Comp 7 53 Tails,44710960042,NSRD0796,Comp 7, -53um ,DTR Tails,1.3,16.68,55.01,1.694,0.069,0.867,1.215,0.118,0.035,3.07,0.434,0.276,0.005,0.001,0.001,0.005,0.002,0.005,-0.001,0.001,0.003,0.001,-0.001,0.001,0.012,0.74,11.77,0.2,12.71
GVRD0267,Comp 4,DTR,Feed,N9821XD21,13-44710257,3.67906166,39.35672773,,0.550816706,,22.36106685,,0.808100633,27.5008962,5.388306094,,0.355024122,,0,0,0,0,0,100,44710257,GVRD0267 Comp 4 53 Feed,44712670001,GVRD0267,Comp 4, -53um ,DTR Feed,27.81,34.61,37.2,1.271,0.06,0.456,0.799,0.109,0.103,1.86,0.142,0.045,0.003,0.001,0.007,-0.001,-0.001,-0.001,-0.001,0.013,0.003,-0.001,-0.001,0.003,0.009,1.06,6.74,-0.02,7.78
GVRD0267,Comp 5,DTR,Feed,N9821XD21,14-44710258,5.228799077,41.84336496,,0,,19.72815883,,1.425019902,27.2187195,4.358709188,,0.197228547,,0,0,0,0,0,100,44710258,GVRD0267 Comp 5 53 Feed,44712670002,GVRD0267,Comp 5, -53um ,DTR Feed,26.43,32.79,40.07,1.529,0.064,0.402,0.879,0.116,0.126,1.89,0.107,0.022,0.002,0.001,0.005,0.002,-0.001,-0.001,0.001,0.013,0.002,-0.001,-0.001,0.003,0.009,0.61,6.5,0.05,7.16
GVRD0267,Comp 6,DTR,Feed,N9821XD21,15-44710259,6.091997244,40.55201613,,0,,20.52356214,,1.679087121,25.54151924,4.313068075,,1.298750056,,0,0,0,0,0,100,44710259,GVRD0267 Comp 6 53 Feed,44712670003,GVRD0267,Comp 6, -53um ,DTR Feed,26.23,32.32,40.37,1.583,0.066,0.472,0.789,0.102,0.114,2.07,0.15,0.034,0.002,0.002,0.003,0.001,-0.001,-0.001,0.001,0.011,0.001,-0.001,-0.001,0.003,0.009,0.48,6.93,0.04,7.45
GVRD0267,Comp 7,DTR,Feed,N9821XD21,16-44710260,2.966894063,41.30538205,,0,,18.63769225,,2.259565608,25.87772184,7.569047075,,1.383697125,,0,0,0,0,0,100,44710260,GVRD0267 Comp 7 53 Feed,44712670004,GVRD0267,Comp 7, -53um ,DTR Feed,25.74,33.45,40.12,0.982,0.038,0.455,0.902,0.116,0.089,1.79,0.133,0.017,0.002,0.002,0.001,0.001,-0.001,-0.001,-0.001,0.009,-0.001,-0.001,-0.001,0.003,0.005,0.45,6.36,0.11,6.92
GVRD0267,Comp 8,DTR,Feed,N9821XD21,17-44710261,2.92652513,41.8133057,,0,,18.94529627,,1.911870569,29.96835598,4.0243009,,0.410345445,,0,0,0,0,0,100,44710261,GVRD0267 Comp 8 53 Feed,44712670005,GVRD0267,Comp 8, -53um ,DTR Feed,29.59,33.68,39.97,0.999,0.048,0.447,0.927,0.122,0.064,1.63,0.172,0.016,0.002,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.003,0.01,0.5,6.17,0.04,6.71
GVRD0267,Comp 9,DTR,Feed,N9821XD21,18-44710262,6.989673566,40.98623479,,0,,24.65852823,,1.356626434,24.57873137,1.388679763,,0.041525849,,0,0,0,0,0,100,44710262,GVRD0267 Comp 9 53 Feed,44712670006,GVRD0267,Comp 9, -53um ,DTR Feed,25.05,31.48,40.16,1.6,0.066,0.528,0.726,0.091,0.351,2.29,0.133,0.015,0.003,0.001,0.002,0.001,0.001,-0.001,0.001,0.015,-0.001,-0.001,-0.001,0.004,0.01,0.09,8.41,0.38,8.88
GVRD0267,Comp 4,DTR,Tails,N9821XD21,19-44710263,4.751477319,53.876783,,0,,30.25875691,,2.425807821,0,7.207731342,,1.479443605,,0,0,0,0,0,100,44710263,GVRD0267 Comp 4 53 Tails,44712670037,GVRD0267,Comp 4, -53um ,DTR Tails,0.86,20.18,51.59,1.75,0.071,0.612,1.084,0.151,0.147,2.51,0.198,0.053,0.004,0.001,0.001,0.008,-0.001,-0.001,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.005,1.9,9.68,0.54,12.12
GVRD0267,Comp 5,DTR,Tails,N9821XD21,20-44710264,7.79215508,56.97001694,,0,,26.38953173,,2.669209088,0,5.359619413,,0.81946775,,0,0,0,0,0,100,44710264,GVRD0267 Comp 5 53 Tails,44712670038,GVRD0267,Comp 5, -53um ,DTR Tails,0.98,18.39,54.99,2.082,0.089,0.543,1.185,0.16,0.177,2.55,0.149,0.024,0.006,0.002,0.001,0.008,0.001,-0.001,-0.001,0.005,0.001,0.001,-0.001,0.004,0.009,0.26,9.97,0.79,11.02
GVRD0267,Comp 6,DTR,Tails,N9821XD21,21-44710265,7.341962077,57.66558325,,0,,25.8479029,,2.104518878,0,5.594010765,,1.446022122,,0,0,0,0,0,100,44710265,GVRD0267 Comp 6 53 Tails,44712670039,GVRD0267,Comp 6, -53um ,DTR Tails,0.86,18.09,55.52,2.142,0.087,0.619,1.037,0.137,0.154,2.73,0.203,0.034,0.007,0.001,-0.001,0.008,0.001,0.004,0.002,0.011,0.003,0.001,-0.001,0.005,0.01,0.28,9.96,0.78,11.02
GVRD0267,Comp 7,DTR,Tails,N9821XD21,22-44710266,3.889033795,58.31321132,,0,,24.3258954,,2.770054846,0,9.434425414,,1.267379224,,0,0,0,0,0,100,44710266,GVRD0267 Comp 7 53 Tails,44712670040,GVRD0267,Comp 7, -53um ,DTR Tails,1.11,19.48,54.83,1.39,0.065,0.599,1.199,0.153,0.123,2.39,0.195,0.022,0.004,0.001,0.004,0.007,-0.001,-0.001,-0.001,0.006,0.001,-0.001,-0.001,0.003,0.008,0.34,9.45,0.82,10.61
GVRD0267,Comp 8,DTR,Tails,N9821XD21,23-44710267,3.718454074,59.97158338,,0,,26.15425986,,3.420984975,0,5.628301257,,1.106416457,,0,0,0,0,0,100,44710267,GVRD0267 Comp 8 53 Tails,44712670041,GVRD0267,Comp 8, -53um ,DTR Tails,0.98,17.02,57.99,1.476,0.061,0.62,1.302,0.173,0.094,2.29,0.25,0.018,0.004,0.001,0.001,0.008,-0.001,0.003,-0.001,0.004,-0.001,-0.001,-0.001,0.004,0.011,0.21,9.83,0.88,10.92
GVRD0267,Comp 9,DTR,Tails,N9821XD21,24-44710268,7.544170176,56.42207199,,0,,32.03506742,,2.315706919,0,1.587036667,,0.095946832,,0,0,0,0,0,100,44710268,GVRD0267 Comp 9 53 Tails,44712670042,GVRD0267,Comp 9, -53um ,DTR Tails,0.98,17.8,53.24,2.084,0.082,0.679,0.946,0.119,0.463,2.98,0.173,0.015,0.005,0.001,0.003,0.008,-0.001,0.002,-0.001,0.012,0.007,-0.001,-0.001,0.004,0.009,0.24,11.49,1.12,12.85
GVRD0269,Comp 2,DTR,Feed,N9821XD21,25-44710269,4.175158964,41.88297268,,0,,11.06513009,,0,31.22419201,9.184870933,,0,,0.39814232,2.069533002,0,0,0,100,44710269,GVRD0269 Comp 2 53 Feed,44712690001,GVRD0269,Comp 2, -53um ,DTR Feed,31.03,35.75,39.58,1.348,0.068,0.63,0.562,0.139,0.096,1.5,0.244,0.012,0.003,0.001,-0.001,-0.001,-0.001,0.004,0.008,0.009,-0.001,0.001,-0.001,0.003,0.005,0.25,3.65,-0.08,3.82
GVRD0269,Comp 3,DTR,Feed,N9821XD21,26-44710270,7.921781378,35.2603103,,0,,19.76783793,,0,27.89901911,1.445026684,,0,,0.389708863,0,0,7.31631574,0,100,44710270,GVRD0269 Comp 3 53 Feed,44712690002,GVRD0269,Comp 3, -53um ,DTR Feed,29.2,33.36,38.94,1.745,0.077,0.497,0.505,0.134,0.125,2.42,0.191,0.03,0.003,0.001,0.002,0.002,0.001,0.005,0.002,0.013,-0.001,-0.001,-0.001,0.004,0.009,0.16,7.08,-0.08,7.16
GVRD0269,Comp 4,DTR,Feed,N9821XD21,27-44710271,6.649827599,39.39680662,,0,,21.03398909,,0,30.03690862,1.16095774,,0,,0,0,0,1.721510331,0,100,44710271,GVRD0269 Comp 4 53 Feed,44712690003,GVRD0269,Comp 4, -53um ,DTR Feed,32.58,35.38,37.23,1.713,0.084,0.568,0.541,0.146,0.132,1.98,0.05,0.016,0.004,0.001,0.001,0.001,0.002,-0.001,0.002,0.015,0.007,0.002,-0.001,0.004,0.01,0.14,6.45,-0.12,6.47
GVRD0269,Comp 5,DTR,Feed,N9821XD21,28-44710272,6.276514756,40.16146005,,0,,15.79305247,,0,35.2991772,1.039720792,,0,,0.428838417,1.001236311,0,0,0,100,44710272,GVRD0269 Comp 5 53 Feed,44712690004,GVRD0269,Comp 5, -53um ,DTR Feed,32.29,34.05,40.47,1.928,0.086,0.59,0.376,0.096,0.152,1.74,0.19,0.012,0.004,0.001,0.001,0.002,-0.001,0.004,0.002,0.024,0.015,-0.001,-0.001,0.003,0.006,0.16,5.12,-0.07,5.21
GVRD0269,Comp 6,DTR,Feed,N9821XD21,29-44710273,2.551435199,39.1435812,,0,,12.08613627,,4.333046709,36.72940963,4.459821147,,0.091598414,,0.604971424,0,0,0,0,100,44710273,GVRD0269 Comp 6 53 Feed,44712690005,GVRD0269,Comp 6, -53um ,DTR Feed,34.41,35.17,38.85,1.033,0.048,0.602,1.275,0.113,0.047,1.76,0.309,0.014,0.003,0.001,0.019,0.001,-0.001,-0.001,-0.001,0.009,0.001,0.001,-0.001,0.003,0.008,-0.05,4.3,0.62,4.87
GVRD0269,Comp 7,DTR,Feed,N9821XD21,30-44710274,3.03824495,37.02071547,,0,,11.09897073,,4.662410666,37.86615454,5.394155585,,0.093001686,,0.826346386,0,0,0,0,100,44710274,GVRD0269 Comp 7 53 Feed,44712690006,GVRD0269,Comp 7, -53um ,DTR Feed,35.67,35.7,38.6,1.154,0.049,0.599,1.267,0.12,0.099,1.83,0.405,0.012,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.013,0.009,0.001,-0.001,0.003,0.009,-0.07,3.72,0.54,4.19
GVRD0269,Comp 2,DTR,Tails,N9821XD21,31-44710275,7.21170768,65.49079323,,0,,16.85956933,,0,0,6.747206194,,0,,0.616540864,3.074182704,0,0,0,100,44710275,GVRD0269 Comp 2 53 Tails,44712690037,GVRD0269,Comp 2, -53um ,DTR Tails,0.89,15.56,62.27,2.089,0.083,0.953,0.653,0.202,0.138,2.26,0.387,0.018,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.012,0.008,-0.001,-0.001,0.003,0.006,0.58,6.45,0.64,7.67
GVRD0269,Comp 3,DTR,Tails,N9821XD21,32-44710276,9.919039441,51.96678088,,0,,27.65564812,,0,1.030664379,0.915957174,,0,,0.321999972,0,0,8.189910035,0,100,44710276,GVRD0269 Comp 3 53 Tails,44712690038,GVRD0269,Comp 3, -53um ,DTR Tails,0.89,16.72,55.89,2.492,0.1,0.686,0.66,0.178,0.188,3.35,0.25,0.045,0.005,0.001,0.001,0.005,-0.001,0.008,-0.001,0.003,0.003,0.001,-0.001,0.004,0.009,0.36,10.54,0.74,11.64
GVRD0269,Comp 4,DTR,Tails,N9821XD21,33-44710277,11.49969599,54.77994205,,0,,28.59863857,,0,0.876988145,0.678909768,,0,,0,0,0,3.565825475,0,100,44710277,GVRD0269 Comp 4 53 Tails,44712690039,GVRD0269,Comp 4, -53um ,DTR Tails,1.02,16.62,55.92,2.579,0.106,0.836,0.804,0.217,0.199,2.97,0.071,0.031,0.007,0.001,-0.001,0.008,-0.001,-0.001,-0.001,0.008,0.002,0.001,-0.001,0.004,0.009,0.4,10.47,0.6,11.47
GVRD0269,Comp 5,DTR,Tails,N9821XD21,34-44710278,11.85638408,62.02346481,,0,,23.42532636,,0,0.875043754,1.170352999,,0,,0.649427996,0,0,0,0,100,44710278,GVRD0269 Comp 5 53 Tails,44712690040,GVRD0269,Comp 5, -53um ,DTR Tails,1.29,14.83,60.89,2.848,0.117,0.86,0.549,0.139,0.226,2.55,0.286,0.039,0.005,0.001,0.001,0.007,-0.001,0.008,-0.001,0.004,0.005,0.001,-0.001,0.005,0.011,0.47,8.38,0.7,9.55
GVRD0269,Comp 6,DTR,Tails,N9821XD21,35-44710279,3.744725427,64.09555138,,0,,18.20205365,,6.362171429,0.796214437,5.980375066,,0.333175204,,0.485733404,0,0,0,0,100,44710279,GVRD0269 Comp 6 53 Tails,44712690041,GVRD0269,Comp 6, -53um ,DTR Tails,1.15,13.98,61.86,1.613,0.062,0.906,1.912,0.167,0.075,2.67,0.477,0.023,0.003,0.001,-0.001,0.008,-0.001,0.005,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.008,0.22,7.47,1.81,9.5
GVRD0269,Comp 7,DTR,Tails,N9821XD21,36-44710280,4.087843553,63.14671326,,0,,15.97996276,,7.317003948,0.670929619,7.395844567,,0.355143109,,1.046559184,0,0,0,0,100,44710280,GVRD0269 Comp 7 53 Tails,44712690042,GVRD0269,Comp 7, -53um ,DTR Tails,1.15,13.99,61.88,1.795,0.071,0.914,1.931,0.179,0.158,2.81,0.63,0.022,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.004,0.011,0.19,6.77,1.71,8.67
NSRD0797,Comp 3,DTR,Cons,N9821XD21,37-44710282,1.491278963,8.188971331,,0,,3.978127972,,0,84.24750269,0,,0,,0,0,0,2.094119042,0,100,44710282,NSRD0797 Comp 3 53 Cons,44710970019,NSRD0797,Comp 3, -53um ,DTR Cons,83.8,63.98,8.813,0.321,0.036,0.098,0.107,0.018,0.012,0.543,0.027,0.017,0.003,-0.001,0.002,0.003,0.001,-0.001,0.004,0.02,0.005,0.001,-0.001,0.002,0.004,-0.19,0,-1.38,-1.57
NSRD0797,Comp 4,DTR,Cons,N9821XD21,38-44710283,0.663841202,8.032859452,,0,,1.72015564,,0,86.75076956,0,,0,,0,0,0,2.832374149,0,100,44710283,NSRD0797 Comp 4 53 Cons,44710970020,NSRD0797,Comp 4, -53um ,DTR Cons,86.7,65,8.524,0.214,0.024,0.09,0.111,0.024,0.004,0.394,0.054,0.017,0.002,-0.001,0.002,0.003,0.001,0.003,0.003,0.016,0.005,0.001,-0.001,0.002,0.003,-0.31,-0.59,-1.42,-2.32
NSRD0797,Comp 8,DTR,Cons,N9821XD21,39-44710284,1.027947201,8.780693208,,0,,1.980935744,,0,85.15037141,0,,0,,0,0,0,3.060052437,0,100,44710284,NSRD0797 Comp 8 53 Cons,44710970021,NSRD0797,Comp 8, -53um ,DTR Cons,83.8,63.8,9.739,0.291,0.028,0.096,0.097,0.021,0.009,0.484,0.059,0.027,0.003,-0.001,0.003,0.004,0.001,-0.001,0.003,0.019,0.005,0.001,-0.001,0.001,0.004,-0.27,-0.47,-1.31,-2.05
NSRD0797,Comp 9,DTR,Cons,N9821XD21,40-44710285,0.707252558,9.160588275,,0,,2.309180862,,0,84.72364707,0,,0,,0,0,0,3.099331229,0,100,44710285,NSRD0797 Comp 9 53 Cons,44710970022,NSRD0797,Comp 9, -53um ,DTR Cons,83.7,63.61,9.741,0.269,0.028,0.11,0.139,0.027,0.005,0.465,0.096,0.022,0.003,-0.001,0.002,0.003,-0.001,-0.001,0.003,0.018,0.009,0.001,-0.001,0.001,0.003,-0.34,-0.5,-1.33,-2.17
NSRD0797,Comp 13,DTR,Cons,N9821XD21,41-44710286,0,7.397035119,,0,,1.001028655,,0,89.6433665,0,,0,,0,0,0,1.95856973,0,100,44710286,NSRD0797 Comp 13 53 Cons,44710970023,NSRD0797,Comp 13, -53um ,DTR Cons,87.5,65.02,8.452,0.23,0.021,0.082,0.116,0.023,0.003,0.331,0.151,0.023,0.003,-0.001,0.003,0.003,-0.001,0.002,0.003,0.016,0.008,0.002,-0.001,0.001,0.003,-0.41,-0.85,-1.35,-2.61
NSRD0797,Comp 14,DTR,Cons,N9821XD21,42-44710287,1.250786139,7.275487581,,0,,2.65326333,,0,82.55927286,0,,0,,0,0,0,6.261190089,0,100,44710287,NSRD0797 Comp 14 53 Cons,44710970024,NSRD0797,Comp 14, -53um ,DTR Cons,82.5,62.99,10.01,0.497,0.048,0.102,0.111,0.024,0.021,0.642,0.119,0.03,0.003,-0.001,0.003,0.004,0.002,0.005,0.007,0.038,0.01,0.001,-0.001,0.003,0.003,-0.19,-0.33,-1.22,-1.74
NSRD0799,Comp 5,DTR,Cons,N9821XD21,43-44710288,0.549494186,6.159282501,,0,,1.073546146,,0,79.44143674,12.18717268,,0,,0.291810607,0,0,0.297257142,0,100,44710288,NSRD0799 Comp 5 53 Cons,44710990001,NSRD0799,Comp 5, -53um ,DTR Cons,74.85,66.9,5.533,0.416,0.036,0.041,0.063,0.012,0.005,0.189,0.229,0.03,0.005,-0.001,0.005,-0.001,0.001,0.005,0.008,0.098,0.016,0.002,-0.001,0.001,0.002,-0.3,-0.76,-1.18,-2.24
NSRD0799,Comp 5,DTR,Cons,N9821XD21,43-44710288,0.549494186,6.159282501,,0,,1.073546146,,0,79.44143674,12.18717268,,0,,0.291810607,0,0,0.297257142,0,100,44710288,NSRD0799 Comp 5 53 Cons,44710990314,NSRD0799,Comp 5, -53um ,R-DTR Cons,,65.58,6.944,0.483,0.034,0.048,0.069,0.013,0.009,0.213,0.284,0.037,0.006,-0.001,-0.001,0.002,0.001,0.01,0.008,0.078,0.015,0.002,-0.001,-0.001,0.001,-0.31,-0.61,-1.16,-2.08
