HoleID,Depth,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Zn,Pb,Cu,Cr,Ni,Co,Na2O,BaO,V2O5,Cl,Sn,Sr,Zr,LOI1000,Fe3O4,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group
NSD0037-1,179.835,39.15,31.88,1.84,0.08,0.59,0.92,0.26,0.05,1.87,1.2,0.003,-0.001,0.001,0.021,0.006,0.002,0.194,0.017,0.005,0.001,0.001,0.009,0.003,4.15,42.2,0.5,25.5,,1.4,7.3,18.9,0.1,,41.3,0.8,3.2,0.14,0.07,0.05,,,,
NSD0037-2,180.455,25.2,46.59,0.72,0.03,1.07,1.8,0.15,0.02,2.66,0.36,0.003,0.001,0.002,0.004,0.004,0.006,0.121,0.006,-0.001,0.001,0.001,0.014,0.003,10.24,16.7,1.6,44.3,,,1,24.6,6.9,,15.4,2.1,4.1,0.1,0.01,0,,,,
NSD0037-3,180.505,37.89,34.75,1.55,0.06,0.61,0.69,0.16,0.03,1.88,0.94,0.003,-0.001,0.001,0.019,0.007,0.002,0.141,0.013,0.002,0.001,0.001,0.008,0.003,4.45,39.4,3.2,28.3,,,6.4,15.8,0.9,,40.1,0.5,4.9,0.38,0.06,0,,,,
NSD0037-4,180.645,42.36,31.86,2.13,0.07,0.37,0.15,0.03,0.01,1.28,1.55,0.003,-0.001,0.002,0.011,0.007,0.001,0.062,0.022,0.004,0.002,0.001,0.008,0.002,1.66,50.2,5,23,,,10.7,8.3,0.5,,50.1,0.6,1.8,0.32,0.01,0,,,,
NSD0037-5,180.765,38.73,36.25,1.32,0.05,0.45,0.46,0.12,0.02,1.45,0.85,0.003,-0.001,0.003,0.01,0.005,0.002,0.072,0.012,0.002,0.001,0.002,0.009,0.003,2.77,42.8,2.7,31.6,,,5,10.7,0,,47.3,1,1.7,0.15,0.01,0,,,,
NSD0037-6,181.1,32.1,44.32,1.09,0.05,0.55,0.66,0.14,0.01,1.87,0.59,0.002,-0.001,0.001,0.007,0.004,-0.001,0.078,0.007,0.001,-0.001,-0.001,0.009,0.003,4.31,33,2.4,41.3,,,3.5,13.8,0.7,,34.4,1.3,2.7,0.04,0.01,0,,,,
NSD0037-7,181.735,33.86,35.55,1.78,0.08,0.62,2.5,0.63,0.2,2.14,0.93,0.004,0.003,0.003,0.031,0.007,0.001,0.206,0.016,0.003,0.001,-0.001,0.015,0.006,5.46,28.4,2.8,27.7,,1.9,5.6,17.2,4.1,,29.5,5.6,5.6,0.07,0.01,0.01,,,,
NSD0037-8,181.755,35.39,33.48,2.32,0.1,0.58,2.06,0.61,0.21,2.3,1.16,0.004,0.003,0.004,0.031,0.009,0.001,0.232,0.019,0.003,0.001,0.001,0.013,0.005,4.9,33.2,5.4,24.6,,1.8,7.5,16.3,0.5,,35.3,2.7,5.9,0.23,0.19,0,,,,
NSD0037-9,182.51,30.76,47.59,1.22,0.09,0.42,0.1,0.01,0.02,1.67,0.51,0.003,-0.001,0.002,0.007,0.005,0.004,0.046,0.008,0.003,0.001,0.002,0.009,0.003,3.59,30.4,3.7,44.9,,1.8,2.6,10.7,0,,32.7,2.6,1.1,0.01,0.01,0,,,,
NSD0037-10,183.07,14.56,50.11,13.81,0.25,0.03,0.25,0.02,0,2.62,9.73,0.012,0.003,0.002,0.001,0.006,0.001,0.315,0.207,0.006,0.002,0.011,0.016,0.051,1.64,11.9,11.6,3.5,,1.8,62.7,0,1.6,,12.9,0,5.9,0.89,0,0.17,,,,
NSD0037-11,183.13,7,72.6,6.32,0.07,0.04,0.68,0.04,0.75,2.6,4.1,0.011,0.003,0.004,0.005,0.006,0.005,0.256,0.062,0.004,0.002,0.005,0.011,0.015,2.47,1.55,7.7,46.6,,0.4,25.5,0,4.7,,0.8,0,13.4,0.47,0.01,0.16,,,,
NSD0037-12,183.325,7.82,59.38,13.8,0.46,0.03,0.36,0.01,0.17,2.47,10.1,0.014,0.004,0.006,0.062,0.02,0.004,0.212,0.083,0.015,0.002,0.011,0.009,0.023,1.94,4.01,14.1,13.1,,0.3,59.3,0,3.2,,4.3,0,5.6,0.38,0.1,0.18,,,,
NSD0037-13,183.64,6.46,62.55,12.35,0.55,0.06,0.97,0.01,0.34,2.31,9.02,0.012,0.005,0.008,0.088,0.029,0.006,0.124,0.055,0.019,0.001,0.011,0.01,0.013,2.58,2.78,13.1,22.5,,0.3,53.5,0,5.8,,2.4,0,2.3,0.23,0.29,0.24,,,,
NSD0037-14,184.625,24.58,38.47,3.93,0.18,0.77,2.28,0.7,0.26,4.77,0.92,0.007,0.002,0.005,0.027,0.014,0.003,0.298,0.016,0.011,0.002,0.003,0.019,0.004,11.38,11,14.5,27.1,,1.9,5,34.1,0,,10.6,0.1,6.6,0.11,0.09,0.04,,,,
NSD0037-15,184.885,39.05,27.56,1.32,0.09,0.62,1.82,0.53,0.04,2.87,0.31,0.003,-0.001,0.004,0.008,0.005,0.001,0.175,0.006,0.012,0.001,0.002,0.011,0.002,7.55,26.4,4.1,20.7,,0.9,1.7,22.5,0,,28,9.7,9.2,0.04,0.02,0.01,,,,
NSD0037-16,185.045,38.34,34.77,2,0.07,0.49,0.06,0.01,0.01,2.3,0.46,0.003,-0.001,0.001,0.014,0.006,0.003,0.173,0.007,0.013,0.001,-0.001,0.006,0.002,4.21,40,8.8,29.9,,1.3,2.5,13,0,,42.2,0.2,2,0.04,0,0.02,,,,
NSD0037-17,185.105,38.93,34.04,1.83,0.07,0.51,0.08,0.01,0.01,2.28,0.42,0.003,-0.001,0.001,0.013,0.006,0.002,0.152,0.007,0.013,0.001,-0.001,0.007,0.002,4.38,41.1,8.5,29.4,,1.1,2.5,13.5,0,,42.9,0.2,1.9,0.11,0.01,0.01,,,,
NSD0037-18,186.15,19.38,51.23,7.17,0.29,0.26,0.07,0.01,0.16,4.72,2.7,0.01,0.002,0.004,0.049,0.021,0.004,0.827,0.037,0.013,0.001,0.004,0.013,0.007,4.52,47.7,14.4,23.9,,6.7,15.8,8.7,0,,10.1,0,17.4,0.34,0.11,0.15,,,,
NSD0037-19,186.43,17.41,50.77,9.56,0.43,0.18,0.22,0.03,0.13,4.26,5,0.011,0.003,0.005,0.074,0.028,0.005,0.327,0.056,0.018,0.001,0.003,0.009,0.008,3.66,10.3,19,20.8,,0.4,30.5,4.5,0.8,,11,0,9.9,0.46,0.14,0.19,,,,
NSD0037-20,188.135,20.16,50.91,7.14,0.32,0.24,0.15,0.04,0.16,3.88,3.18,0.008,0.002,0.005,0.055,0.02,0.003,0.526,0.05,0.013,0.001,0.004,0.012,0.01,3.99,13.1,14.2,26.4,,4.4,19.5,8.1,0,,13.9,0,11.4,0.35,0.08,0.08,,,,
NSD0037-21,188.285,17.88,54.11,7.81,0.35,0.18,0.1,0.01,0.11,3.75,3.68,0.008,0.004,0.002,0.06,0.022,0.003,0.472,0.055,0.013,0.001,0.004,0.012,0.007,3.33,11.4,17.1,28.7,,2.9,21.5,5.1,0.1,,12.6,0,10,0.29,0.12,0.19,,,,
NSD0037-22,189.77,36.18,31.57,2.59,0.13,0.67,0.84,0.23,0.05,3.07,1.15,0.003,-0.001,0.002,0.02,0.008,0.002,0.382,0.018,0.004,0.001,-0.001,0.009,0.003,6.45,27.8,3.3,21.5,,3.4,6.3,23.4,0.1,,28.2,6.7,6.1,0.09,0.03,0.01,,,,
NSD0037-23,189.86,23.16,48.99,0.43,0.04,0.58,5.01,0.02,0.01,2.52,0.15,0.002,0.003,0.002,0.004,0.003,0.004,0.072,0.004,0.002,0.001,-0.001,0.02,0.004,9.28,20.8,0.5,47.5,,0.2,0.4,8.4,21.4,,18.2,1.6,1.9,0,0,0,,,,
NSD0038-24,68.335,35.93,38.09,1.27,0.05,0.63,0.53,0.06,0.01,1.88,0.49,0.002,-0.001,0.004,0.008,0.004,0.003,0.193,0.01,0.001,0.001,0.001,0.008,0.002,4.79,32.6,2.9,38.5,,1.2,1.8,13.9,1.7,,34.1,5.5,0.2,0.12,0.01,0,,,,
NSD0038-25,68.705,21.12,52.72,0.26,0.01,0.88,2.53,0.02,0,2.39,0.07,0.001,0.002,0.002,0.001,0.002,0.004,0.031,0.002,-0.001,0.001,-0.001,0.016,0.004,10.64,11.9,0.7,51,,0,0,20.4,13.1,,10.9,3,0.8,0,0,0,,,,
NSD0038-26,68.735,21.95,53.37,0.29,0.02,0.6,3.35,0.05,0,2.01,0.07,0.002,0.001,0.001,0.002,0.003,0.004,0.014,-0.001,-0.001,-0.001,-0.001,0.018,0.003,8.21,17.3,0.9,53.4,,0,0,9.8,15.7,,16.3,3.3,0.6,0.01,0,0,,,,
NSD0038-27,69.575,28.49,35.13,0.46,0.06,1.28,3.23,0.06,0.01,3.73,0.14,0.002,-0.001,0.002,0.003,0.004,0.003,0.063,0.003,-0.001,0.001,-0.001,0.016,0.001,14.78,14.3,0.8,33.4,,0.1,0,29.9,13.9,,13.2,5.6,3.1,0,0,0,,,,
NSD0038-28,70.58,31.33,30.89,1.36,0.12,1.08,3.71,0.08,0.05,3.98,0.52,0.003,0.001,0.004,0.013,0.007,0.002,0.212,0.011,0.003,0.001,-0.001,0.019,0.003,13.15,17.6,2.4,25.4,,1.7,1.6,24.3,16,,17.8,7.2,3.7,0,0,0,,,,
NSD0038-29,70.92,31.82,32.18,0.63,0.06,0.9,4.44,0.06,0.01,3.21,0.07,0.003,-0.001,0.001,0.003,0.004,0.002,0.059,0.002,0.003,0.001,-0.001,0.018,0.001,12.54,18.7,1.1,31.3,,0,0,18.1,20,,18.5,9.6,1.4,0.51,0.08,0.03,,,,
NSD0038-30,70.845,18.47,53.41,8.62,0.24,0.09,0.6,0,0.14,2.16,5.72,0.006,0.004,0.003,0.061,0.021,0.004,0.305,0.109,0.005,0.001,0.008,0.012,0.006,1.6,19.4,7.8,27.5,,1.8,33.3,1.2,3.2,,22.2,0,2.1,0.02,0.01,0,,,,
NSD0038-31,71.94,30.23,41.13,2.31,0.12,0.51,2.41,0.02,0.05,2.49,1.27,0.003,-0.001,0.002,0.027,0.01,0.003,0.174,0.026,0.004,0.001,0.003,0.014,0.004,6.28,24.5,2.4,32.7,,1.5,6.8,12.8,8.5,,24.8,6,4.4,0.36,0.31,0.01,,,,
NSD0038-32,72.08,18.79,59.35,3.09,0.06,0.25,1.96,0.01,0.08,1.72,2.13,0.004,0.002,0.002,0.038,0.009,0.005,0.157,0.041,0.003,0.003,0.004,0.014,0.005,3.63,18.7,1.6,45.6,,2.6,13.4,2.4,8.9,,19.4,1,5.1,1.21,0.16,0.11,,,,
NSD0038-33,73.67,33.91,37.27,1.28,0.07,0.62,2.11,0.33,0.01,2.44,0.23,0.003,-0.001,0.002,0.009,0.006,0.003,0.122,0.004,0.005,-0.001,-0.001,0.014,0.001,6.09,32.5,6.7,35.4,,1,0.6,17.6,2.8,,32.5,2.4,1.1,0.07,0.02,0,,,,
NSD0038-34,74.11,38.76,32.46,1.36,0.11,0.69,0.37,0.04,0.01,2.57,0.24,0.003,0.001,0.002,0.008,0.007,0.003,0.14,0.003,0.007,0.002,0.002,0.008,0.003,6.08,36.5,6.6,29.5,,0.8,1.3,22,0.3,,36,2.7,0.8,0.09,0.09,0.01,,,,
NSD0038-35,74.07,38.94,33.06,1.61,0.09,0.6,0.4,0.09,0.02,2.1,0.53,0.003,-0.001,0.001,0.019,0.008,0.002,0.29,0.012,0.007,0.001,-0.001,0.008,0.002,4.82,39,4,28.9,,0.8,3.3,18.7,0.1,,38.1,2.6,1.4,0.09,0.03,0,,,,
NSD0038-36,74.5,23.38,38.9,6.21,0.2,0.71,1.47,0.33,0.5,3.76,3.56,0.008,0.002,0.004,0.047,0.016,0.004,0.853,0.059,0.007,0.002,0.004,0.016,0.005,9.67,14.3,2.4,14.1,,10.1,22.1,31.5,1,,13,0.6,5.2,0.07,0.05,0.04,,,,
NSD0038-37,74.553,20.53,45.42,8.28,0.36,0.39,0.43,0.04,0.4,3.58,5.03,0.011,0.002,0.003,0.075,0.026,0.004,0.552,0.09,0.008,0.002,0.004,0.009,0.007,5.71,15.3,6.7,16.8,,5.3,32.9,17,1.1,,14.7,0.1,5.4,0.84,0.34,0.34,,,,
NSD0038-38,74.865,28.26,41.54,5.47,0.21,0.22,0.76,0.06,0.76,3.32,2.17,0.008,0.001,0.004,0.048,0.022,0.003,0.64,0.041,0.01,0.002,0.003,0.01,0.005,3.81,21.8,10.2,22.9,,5.1,14.7,8.6,2.7,,22.4,5.3,6.1,0.02,0.05,0,,,,
NSD0038-39,76.23,36.96,39.25,1.75,0.08,0.38,0.2,0.02,0.02,1.53,1.01,0.003,0.002,0.002,0.014,0.009,0.003,0.122,0.018,0.003,0.002,0.001,0.008,0.003,2.41,40,3.3,34,,0.8,6,9.6,0.2,,42,2.3,0.6,0.21,0.01,0,,,,
