,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
0,1-0055,31,3,38,4,5,10,0.5,,0.5,3,4,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 4-53um DTR Feed,1-0055,NSRD0800-F-4,NSRD0800-F-4,Feed,32.14,41.47,2.15,0.09,0.47,1.28,0.08,0.04,2.24,0.89,0.11,0.01,0,0,0,0,0.02,0,0.02,0.01,0,0,0,0.01,30.5,0.34,4,0.45,4.79,30.45,40.07,,,,
1,2-0056,23,0.5,34,9,4,12,0.5,0.5,0.5,6,8,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 5-53um DTR Feed,2-0056,NSRD0800-F-5,NSRD0800-F-5,Feed,28.11,43.3,4.28,0.19,0.42,1.05,0.08,0.37,2.77,1.81,0.1,0.01,0,0,0,0,0.04,0.01,0.04,0.01,0,0,0.01,0.01,23.2,0.28,4.59,0.47,5.34,28.26,40.09,,,,
2,3-0057,14,,30,14,4,10,1,,,17,11,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 6-53um DTR Feed,3-0057,NSRD0800-F-6,NSRD0800-F-6,Feed,22.86,47.12,6.44,0.29,0.27,1.13,0.09,0.31,2.92,2.88,0.11,0.01,0,0.01,0.01,0,0.06,0.01,0.05,0.02,0,0,0.01,0.01,14.9,0.4,4.37,0.63,5.4,30.29,40,,,,
3,4-0058,11,0.5,31,15,3,13,0.5,0.5,1,13,12,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 8-53um DTR Feed,4-0058,NSRD0800-F-8,NSRD0800-F-8,Feed,22.08,47.43,6.3,0.3,0.31,1.04,0.07,0.37,3.28,2.46,0.12,0.01,0,0.01,0.01,0,0.06,0.01,0.06,0.02,0,0,0.01,0.01,11.8,0.53,5.16,0.73,6.42,28.57,39.99,,,,
4,5-0059,26,1,36,8,6,11,0.5,0.5,0.5,5,6,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 11-53um DTR Feed,5-0059,NSRD0800-F-11,NSRD0800-F-11,Feed,29.5,43.02,3.23,0.15,0.38,1.26,0.07,0.29,2.84,1.13,0.13,0.01,0,0,0,0,0.03,0,0.03,0.01,0,0,0.01,0.01,26.6,0.15,4.38,0.56,5.09,30.35,39.95,,,,
5,6-0060,29,2,34,6,5,12,0.5,,0.5,5,6,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 15-53um DTR Feed,6-0060,NSRD0800-F-15,NSRD0800-F-15,Feed,31.11,40.52,2.98,0.13,0.38,1.39,0.09,0.17,2.56,1.29,0.13,0.01,0,0,0,0,0.02,0,0.03,0.01,0,0,0,0.02,29.3,0.37,4.39,0.48,5.24,29.02,40,,,,
6,1-074,89,,6,0.5,,,3,,,,2,,,,,,,,100,Tr,N9741XD21,44710074 NSRD0798 Comp 3 -53um DTR Cons,1-074,NSRD0798-F-3,NSRD0798-F-3,Cons,65.71,7.35,0.22,0.03,0.08,0.11,0.03,0.01,0.33,0.06,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,85.8,-0.25,-0.61,-1.44,-2.3,43.4,15.324,,,,
7,2-075,89,,7,,,,2,,,,2,,,,,,,,100,Tr,N9741XD21,44710075 NSRD0798 Comp 4 -53um DTR Cons,2-075,NSRD0798-F-4,NSRD0798-F-4,Cons,64.55,8.9,0.3,0.04,0.09,0.13,0.03,0.01,0.36,0.12,0.02,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0,84,-0.29,-0.67,-1.37,-2.33,46.84,17.842,,,,
8,3-076,85,,10,,1,,2,,0.5,,1,,,,,,,,100,Tr,N9741XD21,44710076 NSRD0798 Comp 5 -53um DTR Cons,3-076,NSRD0798-F-5,NSRD0798-F-5,Cons,62.56,10.82,0.39,0.04,0.09,0.27,0.03,0.01,0.36,0.27,0.01,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0,0,80,-0.32,-0.55,-1.2,-2.07,48.25,17.751,,,,
9,4-077,89,,6,,0.5,,3,,,,2,,,,,,,,100,Tr,N9741XD21,44710077 NSRD0798 Comp 6 -53um DTR Cons,4-077,NSRD0798-F-6,NSRD0798-F-6,Cons,65.18,7.83,0.31,0.04,0.07,0.21,0.02,0.01,0.36,0.12,0.01,0,0,0,0,0,0.01,0.01,0.03,0.01,0,0,0,0.01,83.2,-0.32,-0.68,-1.18,-2.18,46.48,13.399,,,,
10,5-078,82,,8,0.5,,,4,0.5,,,4,,,,,,,,100,Tr,N9741XD21,44710078 NSRD0798 Comp 7 -53um DTR Cons,5-078,NSRD0798-F-7,NSRD0798-F-7,Cons,62.3,10.69,0.45,0.05,0.09,0.17,0.02,0.02,0.52,0.12,0.03,0,0,0,0,0,0.01,0.01,0.04,0.01,0,0,0,0.01,78.3,-0.14,0.03,-1.26,-1.37,48.94,11.072,,,,
11,6-079,84,,7,,,,3,0.5,,,5,,,,,,,,100,Tr,N9741XD21,44710079 NSRD0798 Comp 8 -53um DTR Cons,6-079,NSRD0798-F-8,NSRD0798-F-8,Cons,62.77,10.19,0.44,0.04,0.09,0.14,0.02,0.02,0.49,0.12,0.03,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,80.4,-0.15,0,-1.34,-1.49,48.67,11.901,,,,
12,7-080,86,,6,0.5,,,4,,,,5,,,,,,,,100,Tr,N9741XD21,44710080 NSRD0798 Comp 9 -53um DTR Cons,7-080,NSRD0798-F-9,NSRD0798-F-9,Cons,64.15,8.5,0.46,0.05,0.08,0.17,0.02,0.02,0.45,0.12,0.04,0,0,0,0,0,0,0.01,0.07,0.01,0,0,0,0,80.7,-0.14,-0.23,-1.22,-1.59,50.17,7.458,,,,
13,8-081,90,,5,0.5,,,3,,,,3,,,,,,,,100,Tr,N9741XD21,44710081 NSRD0798 Comp 10 -53um DTR Cons,8-081,NSRD0798-F-10,NSRD0798-F-10,Cons,65.96,6.57,0.37,0.04,0.06,0.17,0.02,0.01,0.34,0.09,0.02,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,83.4,-0.26,-0.71,-1.14,-2.11,46.98,11.61,,,,
14,9-082,3,,46,4,3,,23,,,,21,,,,,,,,100,Tr,N9741XD21,44710082 NSRD0798 Comp 3 -53um DTR Tails,9-082,NSRD0798-F-3,NSRD0798-F-3,Tails,17.16,56.43,1.94,0.08,0.88,1.07,0.16,0.06,3.49,0.48,0.1,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,2.6,0.84,8.85,0.44,10.13,28.63,24.701,,,,
15,1-44710164,,2,50,3,2,23,,,,2,19,,,,,,,,100,Tr,N9774XD21,44710164 NSRD0798 Comp 3 -45um DTR Tails,1-44710164,NSRD0798-F-3,NSRD0798-F-3,Tails,17.16,56.43,1.94,0.08,0.88,1.07,0.16,0.06,3.49,0.48,0.1,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,2.6,0.84,8.85,0.44,10.13,28.63,24.701,,,,
16,9-44710172,,2,48,4,2,23,,,,2,18,,2,,,,,,100,Tr,N9774XD21,44710172 NSRD0798 Comp 3 -38um DTR Tails,9-44710172,NSRD0798-F-3,NSRD0798-F-3,Tails,17.16,56.43,1.94,0.08,0.88,1.07,0.16,0.06,3.49,0.48,0.1,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,2.6,0.84,8.85,0.44,10.13,28.63,24.701,,,,
17,10-083,1,,51,5,7,,16,,1,,19,,,,,,,,100,Tr,N9741XD21,44710083 NSRD0798 Comp 4 -53um DTR Tails,10-083,NSRD0798-F-4,NSRD0798-F-4,Tails,14.14,59.17,2.25,0.09,0.93,2.39,0.16,0.16,3.47,0.78,0.11,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.6,7.04,1.89,9.53,26.95,22.131,,,,
18,2-44710165,,2,51,4,8,15,,,,3,17,,,,,,,,100,Tr,N9774XD21,44710165 NSRD0798 Comp 4 -45um DTR Tails,2-44710165,NSRD0798-F-4,NSRD0798-F-4,Tails,14.14,59.17,2.25,0.09,0.93,2.39,0.16,0.16,3.47,0.78,0.11,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.6,7.04,1.89,9.53,26.95,22.131,,,,
19,10-44710173,,2,52,3,6,16,,,,3,16,,,,,,,,100,Tr,N9774XD21,44710173 NSRD0798 Comp 4 -38um DTR Tails,10-44710173,NSRD0798-F-4,NSRD0798-F-4,Tails,14.14,59.17,2.25,0.09,0.93,2.39,0.16,0.16,3.47,0.78,0.11,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.6,7.04,1.89,9.53,26.95,22.131,,,,
20,11-084,1,,51,1,11,,13,,2,7,14,,,,,,,,100,Tr,N9741XD21,44710084 NSRD0798 Comp 5 -53um DTR Tails,11-084,NSRD0798-F-5,NSRD0798-F-5,Tails,10.94,61.16,2.81,0.12,0.79,3.53,0.22,0.14,3.33,1.78,0.09,0.01,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,1.2,0.44,5.92,3.08,9.44,26.93,22.231,,,,
21,3-44710166,,1,53,1,10,12,,,,10,13,,,,,,,,100,Tr,N9774XD21,44710166 NSRD0798 Comp 5 -45um DTR Tails,3-44710166,NSRD0798-F-5,NSRD0798-F-5,Tails,10.94,61.16,2.81,0.12,0.79,3.53,0.22,0.14,3.33,1.78,0.09,0.01,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,1.2,0.44,5.92,3.08,9.44,26.93,22.231,,,,
22,11-44710174,,2,54,1,9,13,,,,9,12,,,,,,,,100,Tr,N9774XD21,44710174 NSRD0798 Comp 5 -38um DTR Tails,11-44710174,NSRD0798-F-5,NSRD0798-F-5,Tails,10.94,61.16,2.81,0.12,0.79,3.53,0.22,0.14,3.33,1.78,0.09,0.01,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,1.2,0.44,5.92,3.08,9.44,26.93,22.231,,,,
23,12-085,1,,49,4,9,,14,,1,,22,,,,,,,,100,Tr,N9741XD21,44710085 NSRD0798 Comp 6 -53um DTR Tails,12-085,NSRD0798-F-6,NSRD0798-F-6,Tails,14.9,58.49,2.24,0.09,0.53,3.04,0.15,0.18,3.13,0.7,0.11,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1,0.72,6.38,2.47,9.57,29.98,26.59,,,,
24,4-44710167,,1,49,4,9,14,,,,3,20,,,,,,,,100,Tr,N9774XD21,44710167 NSRD0798 Comp 6 -45um DTR Tails,4-44710167,NSRD0798-F-6,NSRD0798-F-6,Tails,14.9,58.49,2.24,0.09,0.53,3.04,0.15,0.18,3.13,0.7,0.11,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1,0.72,6.38,2.47,9.57,29.98,26.59,,,,
25,12-44710175,,2,51,3,9,14,,,,3,18,,,,,,,,100,Tr,N9774XD21,44710175 NSRD0798 Comp 6 -38um DTR Tails,12-44710175,NSRD0798-F-6,NSRD0798-F-6,Tails,14.9,58.49,2.24,0.09,0.53,3.04,0.15,0.18,3.13,0.7,0.11,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1,0.72,6.38,2.47,9.57,29.98,26.59,,,,
26,13-086,0.5,,40,4,5,,21,,,,28,,,,,,,,100,Tr,N9741XD21,44710086 NSRD0798 Comp 7 -53um DTR Tails,13-086,NSRD0798-F-7,NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916,,,,
27,5-44710168,,0.5,42,4,4,23,,,,,26,,,,,,,,100,Tr,N9774XD21,44710168 NSRD0798 Comp 7 -45um DTR Tails,5-44710168,NSRD0798-F-7,NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916,,,,
28,13-44710176,,0.5,42,4,4,23,,,,,26,,,,,,,,100,Tr,N9774XD21,44710176 NSRD0798 Comp 7 -38um DTR Tails,13-44710176,NSRD0798-F-7,NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916,,,,
29,14-087,0.5,,40,4,3,,22,,,,30,,,,,,,,100,Tr,N9741XD21,44710087 NSRD0798 Comp 8 -53um DTR Tails,14-087,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
30,6-44710169,,1,41,3,2,24,,,,,29,,,,,,,,100,Tr,N9774XD21,44710169 NSRD0798 Comp 8 -45um DTR Tails,6-44710169,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
31,14-44710177,,0.5,41,3,2,24,,,,,28,,,,,,,,100,Tr,N9774XD21,44710177 NSRD0798 Comp 8 -38um DTR Tails,14-44710177,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
32,15-088,0.5,,33,5,6,,21,,,,34,,,,,,,,100,Tr,N9741XD21,44710088 NSRD0798 Comp 9 -53um DTR Tails,15-088,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
33,7-44710170,,1,33,4,5,23,,,,,33,,,,,,,,100,Tr,N9774XD21,44710170 NSRD0798 Comp 9 -45um DTR Tails,7-44710170,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
34,15-44710178,,,35,4,5,24,,,,,32,,,,,,,,100,Tr,N9774XD21,44710178 NSRD0798 Comp 9 -38um DTR Tails,15-44710178,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
35,16-089,0.5,,41,6,8,,14,,,,30,,,,,,,,100,Tr,N9741XD21,44710089 NSRD0798 Comp 10 -53um DTR Tails,16-089,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
36,8-44710171,,,44,6,8,16,,,,,27,,,,,,,,100,Tr,N9774XD21,44710171 NSRD0798 Comp 10 -45um DTR Tails,8-44710171,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
37,16-44710179,,0.5,43,5,7,16,,,,,27,,,,,,,,100,Tr,N9774XD21,44710179 NSRD0798 Comp 10 -38um DTR Tails,16-44710179,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
38,17-44710180,,1,50,7,3,26,,,,,13,,,,,,,,100,Tr,N9774XD21,44710180 NSRD0797 Comp 3 -53um DTR Tails,17-44710180,NSRD0797-F-3,NSRD0797-F-3,Tails,17.11,53.58,2.85,0.13,0.68,1.12,0.13,0.15,4.56,0.22,0.11,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,1.1,0.54,1.25,9.79,11.58,27.47,26.307,,,,
39,18-44710181,,2,56,4,6,18,,,,2,12,,,,,,,,100,Tr,N9774XD21,44710181 NSRD0797 Comp 4 -53um DTR Tails,18-44710181,NSRD0797-F-4,NSRD0797-F-4,Tails,12.33,61.49,1.62,0.06,0.95,2.18,0.14,0.04,4.1,0.4,0.1,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.02,0.8,1.93,0.84,7.89,10.66,24.41,23.593,,,,
40,19-44710182,,2,53,6,5,19,,,,2,13,,,,,,,,100,Tr,N9774XD21,44710182 NSRD0797 Comp 8 -53um DTR Tails,19-44710182,NSRD0797-F-8,NSRD0797-F-8,Tails,13.65,59.95,2.16,0.09,0.88,1.62,0.16,0.07,4.29,0.4,0.11,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0.9,1.16,0.83,8.29,10.28,26.04,23.131,,,,
41,20-44710183,,2,54,5,7,17,,,,4,12,,,,,,,,100,Tr,N9774XD21,44710183 NSRD0797 Comp 9 -53um DTR Tails,20-44710183,NSRD0797-F-9,NSRD0797-F-9,Tails,11.97,61.54,2.12,0.08,0.98,2.23,0.21,0.05,4.3,0.67,0.11,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0.9,1.82,0.73,7.45,10,24.23,21.168,,,,
42,21-44710184,,3,61,0.5,8,13,,,,6,9,,,,,,,,100,Tr,N9774XD21,44710184 NSRD0797 Comp 13 -53um DTR Tails,21-44710184,NSRD0797-F-13,NSRD0797-F-13,Tails,10.13,64.93,1.84,0.08,0.96,2.64,0.13,0.06,3.67,1.14,0.07,0.01,0,0,0.01,0.01,0.03,0,0,0,0,0,0,0.02,1.8,2.56,0.88,6.03,9.47,31.25,21.015,,,,
43,22-44710185,,1,46,6,3,20,,,,3,22,,,,,,,,100,Tr,N9774XD21,44710185 NSRD0797 Comp 14 -53um DTR Tails,22-44710185,NSRD0797-F-14,NSRD0797-F-14,Tails,16.27,55.74,2.92,0.12,0.71,1.41,0.22,0.17,4.19,0.68,0.15,0,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0.01,1.2,0.75,1.06,7.67,9.48,32.34,27.314,,,,
44,23-44710186,,11,47,6,3,10,,,,11,3,,3,6,,,,,100,Tr,N9774XD21,44710186 NSRD0799 Comp 5 -53um DTR Tails,23-44710186,NSRD0799-F-5,NSRD0799-F-5,Tails,19.52,54.46,4.53,0.21,0.52,1.14,0.15,0.13,2.32,1.88,0.29,0.01,0,0,0.01,0.01,0.04,0,0.03,0.01,0,0,0.01,0.01,1.09,1.27,4.3,0.52,6.09,36.31,30.1,,,,
45,24-44710187,,6,48,5,7,14,,,,10,6,,4,,,,,,100,Tr,N9774XD21,44710187 NSRD0799 Comp 6 -53um DTR Tails,24-44710187,NSRD0799-F-6,NSRD0799-F-6,Tails,13.75,58.75,3.84,0.17,0.6,2.18,0.17,0.1,3.32,1.82,0.34,0.01,0,0,0.01,0,0.04,0,0.01,0.01,0,0,0.01,0.01,0.99,0.5,6.61,1.59,8.7,30,26.31,,,,
46,25-44710188,,3,52,7,7,16,,,,6,5,,3,,,,,,100,Tr,N9774XD21,44710188 NSRD0799 Comp 10 -53um DTR Tails,25-44710188,NSRD0799-F-10,NSRD0799-F-10,Tails,14.13,58.38,3.45,0.15,0.62,2.06,0.11,0.18,3.66,1.26,0.18,0.01,0,0.01,0.01,0,0.03,0,0.01,0.01,0,0,0.01,0.01,0.9,0.46,7.46,1.52,9.44,31.67,26.731,,,,
47,26-44710189,,7,46,4,7,13,,,,12,7,,5,,,,,,100,Tr,N9774XD21,44710189 NSRD0799 Comp 12 -53um DTR Tails,26-44710189,NSRD0799-F-12,NSRD0799-F-12,Tails,13.87,59.09,4.27,0.19,0.6,1.84,0.11,0.14,3.4,2.17,0.45,0.01,0,0,0.01,0.01,0.05,0,0.01,0.01,0,0,0.01,0.01,0.88,0.41,6.15,1.31,7.87,32.49,25.735,,,,
48,27-44710190,,3,48,8,6,13,,,,14,8,,,,,,,,100,Tr,N9774XD21,44710190 NSRD0799 Comp 13 -53um DTR Tails,27-44710190,NSRD0799-F-13,NSRD0799-F-13,Tails,12.59,59.29,4.93,0.21,0.57,1.83,0.12,0.51,3.39,2.51,0.16,0.01,0,0,0.01,0,0.06,0,0.01,0.01,0,0,0.01,0.01,0.9,0.37,5.97,1.33,7.67,29.53,27.645,,,,
